Code_dot,Code_iata,City_name,Airport_name
12646.0,KDJ,"N Djole, Gabon",N Djole Airport
12647.0,KDK,"Kodiak, AK",Kodiak Municipal
12648.0,KDT,"Kamphang Saen, Thailand",Kamphang Saen Airport
12649.0,KEB,"Nanwalek, AK",Nanwalek Airport
12650.0,KED,"Kaedi, Mauritania",Kaedi Airport
12651.0,KEF,"Keflavik/Reykjavik, Iceland",Keflavik International
12652.0,KEH,"Kenmore, WA",Kenmore Air Harbor
16595.0,KEJ,"Kemerovo, Russia",Alexey Leonov
12653.0,KEK,"Ekwok, AK",Ekwok Airport
12654.0,KEL,"Kiel, Germany",Kiel/Holtenau
12655.0,KEM,"Kemi, Finland",Kemi Tornio
12656.0,KEN,"Kenema, Sierra Leone",Kenema Airport
12657.0,KEO,"Odienne, Cote d'Ivoire",Odienne IV Coast
12658.0,KEP,"Nepalganj, Nepal",Nepalgunj
12659.0,KER,"Kerman, Iran",Kerman International
12661.0,KEZ,"Key Largo, FL",Ocean Reef Club
12661.0,OCA,"Key Largo, FL",Ocean Reef Club
12662.0,KFA,"Kiffa, Mauritania",Kiffa Airport
12663.0,KFP,"False Pass, AK",False Pass Airport
12664.0,KGA,"Kananga, Congo (Kinshasa)",Kananga Airport
12665.0,KGC,"Kingscote, Australia",Kingscote Kangaroo Island
12666.0,KGD,"Kaliningrad, Russia",Khrabrovo
12667.0,KGF,"Karaganda, Kazakhstan",Karaganda Airport
12668.0,KGG,"Kedougou, Senegal",Kedougou Airport
12669.0,KGI,"Kalgoorlie, Australia",Kalgoorlie Airport
12670.0,KGJ,"Karonga, Malawi",Karonga Airport
12671.0,KGK,"Koliganek, AK",Koliganek Airport
12672.0,KGL,"Kigali, Rwanda",Kigali International
12674.0,KGS,"Kos, Greece",Kos Airport
12675.0,KGU,"Keningau, Malaysia",Keningau Airport
12676.0,KGX,"Grayling, AK",Grayling Airport
12677.0,KGZ,"Glacier Creek, AK",Glacier Creek Airport
12679.0,KHE,"Kherson, Ukraine",Kherson Airport
12680.0,KHH,"Kaohsiung, Taiwan",Kaohsiung International
12681.0,KHI,"Karachi, Pakistan",Jinnah International
12682.0,KHK,"Khark, Iran",Khark Island
12683.0,KHM,"Khamti, Burma",Kanti
12684.0,KHN,"Nanchang, China",Changbei International
12685.0,KHV,"Khabarovsk, Russia",Khabarovsk Novy
12686.0,KIB,"Ivanof Bay, AK",Ivanof Bay Seaplane Base
